"xexist2"  "yexist2"  "xexist2"  "ynode"  "c#1"  "c#2"  "c#3"  "c#4"  "cannot-link"
"42"  32.1761133452581  0.25503483662383  32.1761133452581  0.00955532645807894  1  0  0  0  0
"43"  33.1862143553591  4.32294259967022  33.1862143553591  4.07735792525783  0  0  1  0  0
"44"  35.7114668806116  6.14714389448967  35.7114668806116  0.314090942636874  0  0  1  0  0
"45"  36.7215678907127  5.68421187999485  36.7215678907127  5.66516754755577  0  0  1  0  0
"46"  37.7316689008137  0.0412993610626532  37.7316689008137  5.94848219425274  1  0  0  0  0
"47"  40.2569214260662  5.99187401450466  40.2569214260662  0.105220333441562  0  0  0  1  0
"48"  48.3377295068743  2.74493081214414  48.3377295068743  2.51032744719223  0  0  1  0  0
"49"  49.3478305169753  5.41142442383206  49.3478305169753  5.03512636831364  0  0  1  0  1
"50"  6.92358809273285  5.35400672768249  6.92358809273285  4.88749525136321  0  0  1  0  0
"51"  22.075103244248  5.26901374690444  22.075103244248  5.28211334723257  0  0  0  1  0
"52"  24.6003557695005  0.875966076415632  24.6003557695005  1.36982845552512  0  0  1  0  0
"53"  25.105406274551  6.25882269931788  25.105406274551  5.99507298554124  0  1  0  0  1
"54"  45.3074264765712  6.12539506196511  45.3074264765712  0.285664050182333  0  1  0  0  0
"55"  45.8124769816217  1.47842494386062  45.8124769816217  1.4759440923743  0  1  0  0  1
"56"  3.89328506242982  0.064790468382993  3.89328506242982  0.448595676989638  0  0  0  1  0
"57"  5.91348708263185  1.79149088064052  5.91348708263185  2.0336136835239  0  0  0  1  0
"58"  6.41853758768235  0.87865949111189  6.41853758768235  0.491045290521711  1  0  0  0  0
"59"  10.4589416280864  0.438015392747837  10.4589416280864  0.680765171534511  1  0  0  0  0
"60"  18.034699203844  5.36090498166824  18.034699203844  4.93543518060552  0  1  0  0  0
"61"  18.5397497088945  5.14797100547599  18.5397497088945  5.25758326502414  0  0  1  0  0
"62"  21.065002234147  0.532092000527714  21.065002234147  0.652637265559693  0  0  1  0  0
"63"  21.5700527391975  0.500883117414991  21.5700527391975  0.733685814406703  0  0  0  1  0
"64"  25.6104567796015  5.46101197379612  25.6104567796015  5.01519316074409  0  0  0  1  0
"65"  32.1761133452581  0.25503483662383  32.1761133452581  0.360142897963536  0  0  1  0  0
"66"  36.2165173856622  0.231800758958318  36.2165173856622  0.553848594639905  0  1  0  0  0
"67"  38.2367194058642  5.36539328262618  38.2367194058642  5.83334374638683  1  0  0  0  0
"68"  39.2468204159652  1.17340238334381  39.2468204159652  1.5738758448302  0  0  1  0  0
"69"  45.8124769816217  1.47842494386062  45.8124769816217  1.35859626216628  1  0  0  0  1
"70"  5.40843657758134  6.22193565878971  5.40843657758134  6.16641155591188  0  0  1  0  0
"71"  10.9639921331369  5.37848938785589  10.9639921331369  5.02859363302684  0  0  0  1  0
"72"  26.6205577897026  6.05315345967177  26.6205577897026  0.102657682009847  1  0  0  0  0
"73"  27.1256082947531  0.865704902642804  27.1256082947531  1.3480974440085  0  0  1  0  0
"74"  35.7114668806116  6.14714389448967  35.7114668806116  0.289872457179051  0  0  1  0  0
"75"  36.2165173856622  0.231800758958318  36.2165173856622  0.421922122341105  0  1  0  0  0
"76"  36.7215678907127  5.68421187999485  36.7215678907127  5.73934184832325  0  0  1  0  1
"77"  4.90338607253083  5.45894364537997  4.90338607253083  5.06593961865036  0  0  1  0  0
"78"  7.42863859778336  5.74349793428676  7.42863859778336  5.59422658067317  0  1  0  0  0
"79"  9.95389112303589  0.370129135105639  9.95389112303589  0.182188832102224  1  0  0  0  0
"80"  11.4690426381874  1.20695980808507  11.4690426381874  1.39106796479593  0  0  1  0  0
"81"  20.5599517290965  0.312878690152317  20.5599517290965  0.707850329303071  0  0  0  1  0
"82"  23.5902547593995  1.17524254007639  23.5902547593995  1.6709470056221  0  0  0  1  0
"83"  26.115507284652  4.96736387857967  26.115507284652  5.35512059527249  0  1  0  0  0
"84"  31.6710628402076  5.84395284648216  31.6710628402076  5.7615361735241  0  0  0  1  0
"85"  36.2165173856622  0.231800758958318  36.2165173856622  0.672624231528946  0  1  0  0  0
"86"  39.2468204159652  1.17340238334381  39.2468204159652  1.00741625286408  0  1  0  0  0
"87"  42.2771234462682  0.644982217757684  42.2771234462682  0.609659960905743  0  1  0  0  0
"88"  47.8326790018238  0.769383408119694  47.8326790018238  0.964154439037457  0  1  0  0  0
"89"  49.8528810220258  5.53145812032183  49.8528810220258  5.6103205771595  0  0  0  1  1
"90"  0.862982032126794  0.318393023774945  0.862982032126794  0.59285876885707  0  0  1  0  0
"91"  5.40843657758134  6.22193565878971  5.40843657758134  5.87038841199084  0  1  0  0  0
"92"  12.9841941533389  5.66544624247412  12.9841941533389  5.23905134472819  0  0  1  0  0
"93"  13.4892446583894  0.402653069669581  13.4892446583894  0.154290099596805  0  0  1  0  0
"94"  18.034699203844  5.36090498166824  18.034699203844  5.13612847198466  0  0  1  0  0
"95"  21.5700527391975  0.500883117414991  21.5700527391975  0.704858054503778  0  0  0  1  0
"96"  22.5801537492985  5.18242388711988  22.5801537492985  4.68467959463342  0  0  1  0  0
"97"  27.1256082947531  0.865704902642804  27.1256082947531  0.461571523416253  0  1  0  0  0
"98"  27.6306587998036  5.80215579711222  27.6306587998036  5.69338028526255  0  1  0  0  0
"99"  30.1559113250561  0.20356485866557  30.1559113250561  0.0384231192487023  1  0  0  0  0
"100"  44.2973254664702  5.90543044698975  44.2973254664702  6.20403030459388  1  0  0  0  0
"101"  46.8225779917228  4.65852117158187  46.8225779917228  4.44555515322549  0  1  0  0  0
"102"  47.3276284967733  5.11755931708451  47.3276284967733  5.15354643115263  0  1  0  0  1
"103"  4.39833556748033  0.553607119553209  4.39833556748033  0.498861316198901  0  0  1  0  0
"104"  15.5094466785914  0.639292866517274  15.5094466785914  0.139768790979354  0  1  0  0  0
"105"  22.075103244248  5.26901374690444  22.075103244248  5.29980484888167  0  0  1  0  0
"106"  39.2468204159652  1.17340238334381  39.2468204159652  1.39206891285956  0  0  0  1  0
"107"  45.8124769816217  1.47842494386062  45.8124769816217  1.45349383667857  0  0  0  1  0
"108"  47.8326790018238  0.769383408119694  47.8326790018238  0.64323264103362  0  1  0  0  1
"109"  2.37813354727831  0.85607998729223  2.37813354727831  1.35284551865892  0  1  0  0  0
"110"  4.90338607253083  5.45894364537997  4.90338607253083  5.3777877503573  1  0  0  0  0
"111"  5.91348708263185  1.79149088064052  5.91348708263185  2.22848480786971  0  1  0  0  0
